Line,File
RIL165,RIL165_trim_R[12].fastq.gz,Pop1
RIL76,RIL76_trim_R[12].fastq.gz,Pop1
RIL248,RIL248_trim_R[12].fastq.gz,Pop1
RIL127,RIL127_trim_R[12].fastq.gz,Pop1
RIL264,RIL264_trim_R[12].fastq.gz,Pop1
RIL115,RIL115_trim_R[12].fastq.gz,Pop1
RIL185,RIL185_trim_R[12].fastq.gz,Pop1
RIL18,RIL18_trim_R[12].fastq.gz,Pop1
RIL108,RIL108_trim_R[12].fastq.gz,Pop1
RIL67,RIL67_trim_R[12].fastq.gz,Pop1
RIL111,RIL111_trim_R[12].fastq.gz,Pop1
RIL57,RIL57_trim_R[12].fastq.gz,Pop1
RIL72,RIL72_trim_R[12].fastq.gz,Pop1
RIL64,RIL64_trim_R[12].fastq.gz,Pop1
RIL227,RIL227_trim_R[12].fastq.gz,Pop1
RIL129,RIL129_trim_R[12].fastq.gz,Pop1
RIL97,RIL97_trim_R[12].fastq.gz,Pop1
RIL161,RIL161_trim_R[12].fastq.gz,Pop1
RIL275,RIL275_trim_R[12].fastq.gz,Pop1
RIL73,RIL73_trim_R[12].fastq.gz,Pop1
RIL87,RIL87_trim_R[12].fastq.gz,Pop1
RIL260,RIL260_trim_R[12].fastq.gz,Pop1
RIL5,RIL5_trim_R[12].fastq.gz,Pop1
RIL4,RIL4_trim_R[12].fastq.gz,Pop1
RIL218,RIL218_trim_R[12].fastq.gz,Pop1
RIL92,RIL92_trim_R[12].fastq.gz,Pop1
RIL69,RIL69_trim_R[12].fastq.gz,Pop1
RIL172,RIL172_trim_R[12].fastq.gz,Pop1
RIL137,RIL137_trim_R[12].fastq.gz,Pop1
RIL109,RIL109_trim_R[12].fastq.gz,Pop1
RIL269,RIL269_trim_R[12].fastq.gz,Pop1
RIL263,RIL263_trim_R[12].fastq.gz,Pop1
RIL70,RIL70_trim_R[12].fastq.gz,Pop1
RIL191,RIL191_trim_R[12].fastq.gz,Pop1
RIL124,RIL124_trim_R[12].fastq.gz,Pop1
RIL101,RIL101_trim_R[12].fastq.gz,Pop1
RIL254,RIL254_trim_R[12].fastq.gz,Pop1
RIL78,RIL78_trim_R[12].fastq.gz,Pop1
RIL150,RIL150_trim_R[12].fastq.gz,Pop1
RIL175,RIL175_trim_R[12].fastq.gz,Pop1
RIL28,RIL28_trim_R[12].fastq.gz,Pop1
RIL122,RIL122_trim_R[12].fastq.gz,Pop1
RIL241,RIL241_trim_R[12].fastq.gz,Pop1
RIL192,RIL192_trim_R[12].fastq.gz,Pop1
RIL199,RIL199_trim_R[12].fastq.gz,Pop1
RIL54,RIL54_trim_R[12].fastq.gz,Pop1
RIL173,RIL173_trim_R[12].fastq.gz,Pop1
